id,name,collection,sku,finish,cbm,price,weight,suggestedRetailPrice,image,,Margen Bruto
33,Sillas Gruvyer Blanco,Comedor ,HC-N06B,blanco,0.04,"$1,026",,"$1,283",https://i.postimg.cc/T19B3qk9/bco.jpg,,20.00%
34,Sillas Gruvyer Negro,Comedor ,HC-N06N,negro,0.04,"$1,026",,"$1,283",https://i.postimg.cc/15vLxBVR/100px-10.jpg,,20.00%
35,Silla Aurora Marcela Blanca,Comedor ,HC-N50B,blanca,0.06,"$1,677",,"$2,096",https://i.postimg.cc/fbm2bfy9/blanca.jpg,,20.00%
36,Silla Aurora Marcela Beige,Comedor ,HC-N50C,beige,0.06,"$1,677",,"$2,096",https://i.postimg.cc/dVzNvxsF/beige.jpg,,20.00%
37,Silla Aurora Marcela Negra,Comedor ,HC-N50N,negro,0.06,"$1,677",,"$2,096",https://i.postimg.cc/yNym5QWv/aurora-negr.jpg,,20.00%
38,Silla Plia Umea,Comedor ,HC-P101,transparente,0.02,"$1,204",,"$3,990",https://i.postimg.cc/3RJvq2yG/HC-P101.webp,,69.82%
39,Mesa Eames Redonda Laqueada 100cm Blanco,Comedor ,HT -M01B,blanco,0.11,"$3,432.09",,"$6,500",https://i.postimg.cc/N010xFpH/blanca.webp,,47.20%
40,Mesa Eames Redonda Laqueada 100cm Negro,Comedor ,HT -M01N,negro,0.11,"$3,432.09",,"$6,500",https://i.postimg.cc/wv2TSPKx/negra.webp,,47.20%
41,Mesa Eames Redonda Vidrio 90cm,Comedor ,HT -G019,transparente,0.09,"$3,258.17",,"$5,999",https://i.postimg.cc/x8FjdzTW/Mesaeamesvidrio90.webp,,45.69%
42,Mesa Eames Redonda Vidrio 100cm,Comedor ,HT -G01,transparente,0.11,"$3,875.89",,"$6,950",https://i.postimg.cc/yNXVZ58h/eames-vidrio-100.webp,,44.23%
43,Mesa Eames Rectangular Laqueada 120cm,Comedor ,HT -M08B,blanca,0.17,"$4,781",,"$8,100",https://i.postimg.cc/XJs42CFp/HT-M08-BLANCA.webp,,40.97%
44,Mesa Plia Umea,Comedor ,HT-P04,transparente,0.03,"$2,899",,"$6,500",https://i.postimg.cc/k5w09d5H/plia.webp,,55.39%
45,Mesa Eames Rectangular Laqueada 100 cm,OFICINA,HT-M64B,Blanca,0.08,"$3,425",,"$4,281",https://i.postimg.cc/MHdy9dZg/HT-M64-BLANCA.webp,,20.00%
46,Mesa  Milan Cuadrada Laqueada 80 cm Blanca,Comedor ,HT-M04B,Blanco,0.12,"$4,456",,"$5,570",https://i.postimg.cc/d0QDBdST/HT-M04-BLANCA.webp,,20.00%
47,Mesa  Milan Cuadrada Laqueada 80 cm Negra,Comedor ,HT-M04N,negro,0.12,"$4,456",,"$5,570",https://i.postimg.cc/Y9YcLDfN/HT-M04-NEGRA.webp,,20.00%
48,Mesa Milan Redonda Laqueada 80cm Blanca,Comedor ,HT-M06B,blanco,0.12,"$4,456",,"$5,570",https://i.postimg.cc/50SVkkY4/milan-red-b.jpg,,20.00%
49,Mesa Milan Redonda Laqueada 80cm Negra,Comedor ,HT-M06N,negro,0.12,"$4,456",,"$5,570",https://i.postimg.cc/BbRM5JSX/HT-M06-NEGRA.webp,,20.00%
